Borough;Latitude;Longitude
Atgâzene;56.91727466;24.07453804
Avoti (arî Avotu iela);56.95246709;24.14085422
Âgenskalns;56.9333296;24.0666664
Beberbeíi;56.95;23.95
Berìi;56.9833294;24.2999988
Bieriòi;56.919722;24.058611
Biðumuiþa;56.9097;24.1361
Bolderâja;57.0333332;24.0499998
Brasa;56.97310944;24.14111944
Brekði;56.966363;24.303979
Bukulti;57;24.267
Centrs;56.946285;24.105078
Èiekurkalns;56.9833294;24.166666
Daugavgrîva;57.045119;24.0392876
Dârzciems;56.9445471;24.1770087
Dârziòi;56.864722;24.275278
Dreiliòi;56.944;24.246
Dzirciems;56.9559991;24.0527053
Grîziòkalns;56.8666632;25.9499962
Iïìuciems;56.9666628;24.0666664
Imanta;56.9499962;24
Jaunciems;57.041667;24.177778
Jugla;56.986;24.243
Katlakalns;56.883333;24.183333
Kleisti;56.995;24.010278
Kundziòsala;57.166666;24.0999996
Íengarags;56.92158;24.1817301
Íîpsala;56.951082;24.08409
Mangaïsala;57.0499998;24.0666664
Maskavas forðtate;56.9331918;24.144805
Meþaparks;57;24.166666
Meþciems;57.108;24.202
Mîlgrâvis;57.033333;24.1
Mûkupurvs;56.9383;23.9808
Pçtersala-Andrejsala;56.966667;24.083333
Pleskodâle;56.9325;24.0364
Pïavnieki;56.94;24.207778
Purvciems;56.9499962;24.166666
Rîtabuïïi (arî Buïïi);57.012222;23.956667
Rumbula;56.9;24.3
Salas;56.9264;24.1211
Sarkandaugava;56.9978;24.1206
Skanste;56.9703;24.1183
Spilve;56.9961;24.0653
Suþi;57.016667;24.216667
Ðampçteris;56.9419;24.0397
Ðíirotava;56.9175;24.206944
Teika;56.97;24.18
Toròakalns;56.9333296;24.083333
Trîsciems;57.05;24.133333
Vecâíi;57.0666664;24.0999996
Vecdaugava;57.0499998;24.0999996
Vecmîlgrâvis;57.0333332;24.0999996
Vecpilsçta (arî Vecrîga);56.954167;24.116667
Voleri;57.0131;24.0803
Zasulauks;56.93816291;24.0509998
Ziepniekkalns;56.95;24
Zolitûde;56.946944;24.010972
